Milioni di metri cubi;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
United Arab Emirates; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 116 ; 201 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Belgium; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 154 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 81 ;
Equatorial Guinea; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 91 ; 85 ; -   ;
Peru; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 111 ; -   ; -   ; -   ; -   ;
Angola; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 92 ; -   ; -   ;
Cameroon; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; -   ; -   ;
Spain; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 3 ; 2 ; 2 ; 1 ; 48 ; -   ; 88 
Slovenia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 23 ; 2 ; 11 ; 8 ; 8 ; -   ;
Azerbaijan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; 7.214 
Totale; 30.470 ; 33.028 ; 33.952 ; 32.146 ; 29.156 ; 34.314 ; 37.086 ; 39.085 ; 42.646 ; 49.484 ; 57.447 ; 54.775 ; 59.291 ; 62.794 ; 67.908 ; 73.460 ; 77.399 ; 73.950 ; 76.867 ; 69.250 ; 75.354 ; 70.369 ; 67.725 ; 61.966 ; 55.757 ; 61.266 ; 65.284 ; 69.650 ; 67.872 ; 71.065 ; 66.393 ; 72.728 
